gene	intron	contig	number	location
Vbra_10729	15	Vbra_scaffold95_gene72	46	135410
Vbra_10730	11	Vbra_scaffold95_gene72	47	138026
Vbra_10731	15	Vbra_scaffold95_gene72	48	140460
Vbra_10732	17	Vbra_scaffold95_gene72	49	143106
Vbra_10733	17	Vbra_scaffold95_gene72	50	146371
Vbra_10734	3	Vbra_scaffold95_gene72	51	148754
Vbra_10735	20	Vbra_scaffold95_gene72	52	152855
Vbra_10736	23	Vbra_scaffold95_gene72	53	160968
Vbra_10737	11	Vbra_scaffold95_gene72	54	167008
Vbra_10738	7	Vbra_scaffold95_gene72	55	169489
Vbra_10739	5	Vbra_scaffold95_gene72	56	171104
Vbra_10740	23	Vbra_scaffold95_gene72	57	173285
Vbra_10741	5	Vbra_scaffold95_gene72	58	175477
Vbra_10742	5	Vbra_scaffold95_gene72	59	178106
Vbra_10743	7	Vbra_scaffold95_gene72	60	180253
Vbra_10744	7	Vbra_scaffold95_gene72	61	181735
Vbra_10745	21	Vbra_scaffold95_gene72	62	184677
Vbra_10746	13	Vbra_scaffold95_gene72	63	187746
Vbra_10747	25	Vbra_scaffold95_gene72	64	191128
Vbra_10748	41	Vbra_scaffold95_gene72	65	195642
Vbra_10749	5	Vbra_scaffold95_gene72	66	198722
Vbra_10750	21	Vbra_scaffold95_gene72	67	201498
Vbra_10751	19	Vbra_scaffold95_gene72	68	206768
Vbra_10752	1	Vbra_scaffold95_gene72	69	210514
Vbra_10753	11	Vbra_scaffold95_gene72	70	211695
Vbra_10754	9	Vbra_scaffold95_gene72	71	213890
Vbra_10755	13	Vbra_scaffold95_gene72	72	217289
Vbra_22461	5	Vbra_scaffold980_gene3	1	662
Vbra_22462	25	Vbra_scaffold980_gene3	2	2865
Vbra_22463	1	Vbra_scaffold980_gene3	3	4791
Vbra_scaffold981_tRNA_Ala1	0	Vbra_scaffold981_gene2	1	3102
Vbra_scaffold981_tRNA_Ile1	0	Vbra_scaffold981_gene2	2	3214
Vbra_6657	19	Vbra_scaffold982_gene1	1	2653
Vbra_23107	11	Vbra_scaffold993_gene2	1	1172
Vbra_23108	5	Vbra_scaffold993_gene2	2	4114
Vbra_4655	21	Vbra_scaffold994_gene3	1	1915
Vbra_4656	1	Vbra_scaffold994_gene3	2	3209
Vbra_4657	1	Vbra_scaffold994_gene3	3	4317
Vbra_1923	11	Vbra_scaffold995_gene2	1	333
Vbra_1924	5	Vbra_scaffold995_gene2	2	1617
Vbra_22464	22	Vbra_scaffold996_gene1	1	2118
